"rating","author","date_iso","text","platform","organization"
"5.0","Александр Шушпанов","2025-06-15","Хороший автосалон, выбор машин есть на разный ценовой сегмент, помогли выбрать машину под свои потребности, менеджер Владимир помог с выбором, к сожалению когда пришли оформляться его не было, но помогли оформиться без проблем","2GIS","avtolotsman_probeg"
"5.0","Андрей Гусев","2024-07-26","Не давно искали семейный автомобиль и нашли подходящий вариант в этом автосалоне. Выбор большой на любой кошелёк. Хочу отметить менеджера Никиту, профессионал своего дела. Грамотно провел консультацию, все показал рассказал. Оперативно подготовил документы на оформление и даже после покупки всегда на связи и отвечает на вопросы. Единственное, что было бы приятно это в день покупки получить свеже помытый автомобиль. А так в целом все на отлично. Рекомендую!","2GIS","avtolotsman_probeg"
"1.0","Евгений Михеев","2024-01-29","Доброго времени суток! Всем потенциальным покупателям совет, не обращайтесь в этот салон подержанных авто. Моя история такая: искал автомобиль и казалось бы нашёл у этого автосалона(Автолоцман), при общении с менеджером Михаилом всё казалось прозрачным и честным, но на самом деле оказалось наоборот. Миша- менеджер просто по сути и по жизни очень плохой и бессовестный человек, то что я летел к ним из Сибири за 3000км, его это ни как не останавливало он продолжал врать. В общем выводы делайте сами. Фото осмотренного авто прилагаю: Опель Вектра 2.0 175л.с. МКПП-утопленник!","2GIS","avtolotsman_probeg"
"5.0","Анжелика Смородинова","2025-08-18","Приезжала, чтобы приглядеться поближе к китайским авто. Мне понравилось отношение менеджера. Ненавязчивое, конкретное, уважительное. Съездили на тест-драйв, я влюбилась в кулрей, буду брать в ближайшее время. Спасибо ребятам!","2GIS","avtolotsman"
"2.0","иван","2025-07-16","Не советую","2GIS","avtolotsman"
"1.0","Иван Потопальский","2025-07-12","Безответственная работа мастера-приемщика кузовного цеха. Автомобиль выдан грязный, в пыли, с кривыми зазорами. К мастерам проводившим ТО по замене масла вопросов нет, спасибо что согласились быстро исправить организационные косяки своих коллег","2GIS","avtolotsman"
"5.0","Дмитрий Лукоянов","2024-03-08","Порядочные сотрудники, человеческий подход к проблеме с авто","2GIS","kia_avtolotsman"
"5.0","Илья Форостянка","2025-09-29","Автосалон шикарный, персонал готов активно помочь, пришлось обращаться в салон из саратовской области привести машину. Произвели гарантийный ремонт замену двигателя, быстро, всегда держали на связи, мастер приемщик Сергей Паника вежливый , профессионал своего дела, было приятно пообщаться, все объяснил и показал по машине, москвич 6. Всем рекомендую!!! 👍","2GIS","mazda_avtolotsman"
"5.0","Владимир Гусейнов","2025-09-22","Хочу сказать спасибо ребятам из сервиса Мазда Елистратову Алексею, ну и в общем всем. Грамотно сделали диагностику и выполнили ремонт. Очень доволен. Всем рекомендую. Ещё раз спасибо","2GIS","mazda_avtolotsman"
"5.0","Сергей Солёнов","2025-09-20","Хочу выразить благодарность автоэлектрику Шишову Станиславу. Грамотный специалист, добродушный, знающий своё дело. Рекомендую. 👍","2GIS","mazda_avtolotsman"
"5.0","Кузнецова Юлия","2025-04-22","Специалисты высокого уровня, все быстро и профессионально. Салон предоставляет хорошие скидки что б клиенты возвращались на обслуживание особенно если авто уже не на гарантии)","2GIS","mazda_avtolotsman"
"5.0","Геннадий Иванович Коваль","2024-12-20","Отзывчивый, вежливый и профессиональный персонал в сервисе Шкода.","2GIS","mazda_avtolotsman"
"5.0","Иван Паличев","2024-11-07","Отличная слаженная работа менеджеров по сервису, по запчастям и собственно самого сервиса. Всё что нужно по запчвстям предложили в нескольких вариантах, объяснили что и как, и сделали быстро и качественно. Очень доволен посещением этого сервиса. Отдельная благодарность Николаю Подкопаеву и Алексею Кузьмичеву за подробные разъяснения по всем вопросам и решение моих проблем с Кодиаком и запчастями к нему","2GIS","mazda_avtolotsman"
"5.0","Татьяна Фролова","2024-08-03","Заезжала с поломкой машины. Сотрудник, Н.Подкопаев очень внимательно выслушал, принял машину в работу, все разъяснил. Очень вежливый и грамотный специалист. Спасибо за работу! Работой сервиса довольна.","2GIS","mazda_avtolotsman"
"5.0","Sberid User","2024-07-23","Будучи в командировке в г. Пензе обратился к официальному дилеру Шкоды с ФВ Пассатом: нужно было заменить тормозную жидкость и антифриз перед поездкой в отпуск. Всё сделали в лучшем виде - быстро, профессионально, аккуратно. Спасибо мастерам-приемщикам за вежливое и уважительное отношение и пунктуальность: оформление всех необходимых документов при сдаче и получении автомобиля заняло минимум времени, всё подробно рассказали/объяснили что и как по времени, работам и запчастям. Жалко, что ВАГ отключил дилеров от фирменного ПО: с удовольствием бы приехал в Автолоцман со своими электронными вопрросами. Спасибо за отличную работу!","2GIS","mazda_avtolotsman"
"5.0","Sberid User","2024-05-31","Вот это сервис! Вот это подход! Все отлично, но особенно хотелось бы отметить мастера Алексея Федосова! Спасибо и успехов!","2GIS","mazda_avtolotsman"
"5.0","Кристина Кольчугина","2024-04-01","Ребята оформили за 1 час машину, все быстро и четко!","2GIS","mazda_avtolotsman"
"5.0","Дмитрий Немков","2023-12-20","Прошел комплексную диагностику и замену масла в двигателе по акции от mazda. Сделали быстро, дали развернутую информацию по состоянию авто и рекомендации по эксплуатации и обслуживанию. Отдельное спасибо менеджеру Сергею!","2GIS","mazda_avtolotsman"
"1.0","Демид Рожков","2025-09-06","06.09.2025 обратился в ООО «Автолоцман М» для установки камеры заднего вида в а/м Mazda 6. Менеджер отдела запасных частей Кузьмичев Алексей подобрал мне камеру. Я отправился на установку камеры. Через 3 часа ожидания в клиентской зоне меня позвали и сказали, что все сделано. Пошел смотреть и ужаснулся. Камера не экране показывала только на пол экрана, потому что половина была закрыта пластиком от багажника. То есть на экране узкая полоска видеоизображения! Менеджер приемщик мне заявил это норма! Я в шоке! Камеру прорезали в пластике багажника чуть ли не канц ножем! И за это нужно отдать 16000₽ Менеджер Кузьмичев предложил перезаказать другую камеру. На мой вопрос почему мне сразу не поставили нормальную камеру, он ответить не смог! По итогу, камеру мне демонтировали, потому что нет смысла платить за такую работу. Мастер установщик мне сказал, что 100 раз менеджеру Кузьмичеву говорил, что данная камера не подходит и продавать их не следует! Итого: Мне дважды за день взорвали салон моего идеального автомобиля, оставили меня без камеры заднего вида и отправили домой с изуродованной саблей на багажнике, с дыркой, заклеенной изолентой! Причем я очень люблю марку и имею два автомобиля в семье! В один день все отношение перевернулось, потому что в цепочке запчасти-приемщик-установщик все работают без коммуникации друг с другом! Каждый сам за себя! На работе друзья и коллеги меня спросили поставили камеру ?! А я им им рассказал данную историю, как уехал с Мазды обплеванный с изуродованной любимой машиной! Не рекомендую данного диллера!","2GIS","moskvich_avtolotsman"
"5.0","Ангелина Гейнц","2025-09-01","Хочу выразить благодарность коллективу автосалона «Автолоцман» за их высокий профессионализм и индивидуальный подход к клиентам. Их внимание к деталям и понимание потребностей создают доверительные отношения и обеспечивают высокое качество услуг. Рекомендую «Автолоцман» всем, кто ищет надежного партнера в автомобилях! Особенно благодарна Елене Анатольевне Охотниковой за её профессионализм и заботу о клиентах. Спасибо всему коллективу за ваш труд!","2GIS","moskvich_avtolotsman"
"5.0","Sberid User","2024-07-23","Будучи в командировке в г. Пензе обратился к официальному дилеру Шкоды с ФВ Пассатом: нужно было заменить тормозную жидкость и антифриз перед поездкой в отпуск. Всё сделали в лучшем виде - быстро, профессионально, аккуратно. Спасибо мастерам-приемщикам за вежливое и уважительное отношение и пунктуальность: оформление всех необходимых документов при сдаче и получении автомобиля заняло минимум времени, всё подробно рассказали/объяснили что и как по времени, работам и запчастям. Жалко, что ВАГ отключил дилеров от фирменного ПО: с удовольствием бы приехал в Автолоцман со своими электронными вопрросами. Спасибо за отличную работу!","2GIS","shkoda_avtolotsman"
"5.0","Артем Шишкин","2025-03-31","Загонял мотоцикл в Автолоцман-детейлинг для оклейки бронепленкой уязвимых мест. Работой остался полностью доволен. Цена за работу вполне приемлемая. Рекомендую!!!","2GIS","avtolotsman_deteyling"
"5.0","Виктория Дмитриевна","2024-11-25","Хочу отдельно поблагодарить Александра, а так же его команду за прекрасно проделанную работу с моим автомобилем! Мне делали полностью бронь передней части кузова и дополнительно отдельных элементов ,полировку и покрытие керамикой. Очень понравился персональный подход. По времени с работой справились очень оперативно, вошли в положение и подобрали удобное время именно для меня . Качество работы великолепное. Ко мне было очень клиентоориентированное отношение, прекрасное. Детейлинг , определенно, молодцы, делают все качественно, красиво, а еще очень отзывчивые и стараются для клиента!","2GIS","avtolotsman_deteyling"
"5.0","Андрей Феофанов","2024-10-31","Оклеивали машину, все хорошо","2GIS","avtolotsman_deteyling"
"5.0","Лера","2024-08-11","Превосходно! Благодарим Александра и всю команду. Прислушались ко всем пожеланиям, сделали все очень аккуратно, чётко, учли все нюансы, отработали в заявленном тайминге. Машина сбросила лет 5 - получили блестящий, чистый и приятно пахнущий автомобиль. Работа на премиальном уровне, рекомендуем детейлинг","2GIS","avtolotsman_deteyling"
"5.0","Максим Ванясов","2024-06-07","Хочу поблагодарить Александра! До этого мыл Мазду на обычной мойке (в другом месте). Там при попытке удалить следы от липы затерли ЛКП до царапин. Сегодня обратился в детейлинг, Александр идеально заполировал эти места, как на металле, так и на пластике. Он настоящий профессионал в своем деле.","2GIS","avtolotsman_deteyling"
"5.0","Anton Sirotkin","2024-04-28","Безопасно, с уважением к клиенту. Слышат пожелания. Оперативно. Премиум уровень. Работы: антидождь, полировка + покрытие керамикой, защита фар и зоны ручек дверей пленкой.","2GIS","avtolotsman_deteyling"
"5.0","Татьяна Горенкова","2024-02-24","Машина после мойки и ухода выглядит идеально - блестит, словно только что вышла из салона) Довольна чистотой и подходом. Все сделано очень качественно и быстро! Огромный респект! Всем рекомендую!","2GIS","avtolotsman_deteyling"
"5.0","Владимир Балашов","2024-02-12","Класс!!! Постарались на славу.Буду вас рекомендовать.Если честно, впечатлён работой.","2GIS","avtolotsman_deteyling"
"5.0","Алексей Оперской","2024-02-07","Сделали комплексную мойку, понравилось, всем рекомендую 👍🏼","2GIS","avtolotsman_deteyling"
"5.0","Антон Морозов","2024-01-13","Сервис детейлинг керамика просто лучший. Рекомендую без головняка и профессионально.","2GIS","avtolotsman_deteyling"
"5.0","Наталья Соловьева","2023-12-23","Сегодня я посетила салон АВТОЛОЦМАН ДЕТЕЙЛИНГ | полировка | химчистка. Записывалась помыть машину я ещё неделю назад, поскольку мне было удобно приехать в выходной день. Оставила машину примерно на три часа, поскольку мойка авто у меня была комплексная, куда вошли: - мойка кузова в 3 этапа - влажная, сухая уборка салона, пылесос - нанесение специального гидрофобного состава -дезинфекция воздуха Когда я вернулась за своей ""ласточкой"", её было просто не узнать, я - в ВОСТОРГЕ, моя машина была отполирована, сверкала как новая, именно такая она была, когда я её покупала в салоне. Просто невероятно, такая чистая и ухоженная, в салоне лёгкий запах дезинфицирующего средства, который выветрился, пока я ехала домой! И, несмотря на непогоду на улице и дождь, проехав по городу от салона до дома, автомобиль остался чистым, вся грязь и вода стекала, благодаря нанесенному специальному покрытию! Просто СУПЕР!!! Хотела также отметить ребят, которые здесь работают, вежливые, все пояснили, и сделали работу на совесть - настоящие профессионалы своего дела! Если планируете хорошо помыть свой автомобиль, то вам СЮДА - в салон АВТОЛОЦМАН ДЕТЕЙЛИНГ | полировка | химчистка","2GIS","avtolotsman_deteyling"
